DATE;TIME;OPEN;HIGH;LOW;CLOSE;TICKVOL;VOL;SPREAD
2019.02.20;12:00:00;99202;99712;99182;99377;200530;728212;5
2019.02.20;13:00:00;99377;99632;98907;99222;179777;647549;5
2019.02.20;14:00:00;99222;99287;98922;99032;166656;593475;5
2019.02.20;15:00:00;99027;99322;98962;99092;150289;545441;5
2019.02.20;16:00:00;99102;99297;98302;98342;232524;835727;5
2019.02.20;17:00:00;98342;98567;97992;98152;120635;474892;5
2019.02.20;18:00:00;98152;98382;98082;98382;6266;24989;5
2019.02.21;09:00:00;98626;98996;98316;98421;224262;739631;0
2019.02.21;10:00:00;98421;98816;98161;98366;314089;992844;5
2019.02.21;11:00:00;98366;98411;97871;97916;262062;882453;5
2019.02.21;12:00:00;97911;98006;97441;97926;213889;750618;5
2019.02.21;13:00:00;97921;98036;97526;97756;166057;587429;5
2019.02.21;14:00:00;97751;97851;97336;97661;172108;611381;5
2019.02.21;15:00:00;97661;98146;97536;98086;170960;623831;5
2019.02.21;16:00:00;98086;98451;97991;98191;178573;678651;5
2019.02.21;17:00:00;98191;98531;97986;98526;107557;435733;5
2019.02.21;18:00:00;98521;98641;98436;98641;7547;31962;5
2019.02.22;09:00:00;98999;99119;98754;99089;224211;745990;0
2019.02.22;10:00:00;99089;99769;98529;98729;296441;972233;5
2019.02.22;11:00:00;98729;98994;98549;98939;230346;816192;5
2019.02.22;12:00:00;98939;99019;98589;98814;151976;572173;5
2019.02.22;13:00:00;98814;99249;98719;99134;123728;469539;5
2019.02.22;14:00:00;99129;99359;98954;99049;150023;535230;5
2019.02.22;15:00:00;99054;99149;98834;99059;120732;444191;5
2019.02.22;16:00:00;99054;99209;98959;98994;99896;407595;5
2019.02.22;17:00:00;98989;99479;98934;99444;85436;377686;5
2019.02.22;18:00:00;99439;99454;99289;99414;6370;29314;5
2019.02.25;09:00:00;99896;100077;99572;99722;176867;601227;0
2019.02.25;10:00:00;99717;99722;99442;99587;220737;763797;5
2019.02.25;11:00:00;99587;99727;99047;99167;266900;946861;5
2019.02.25;12:00:00;99167;99377;98887;99367;195701;690549;5
2019.02.25;13:00:00;99367;99402;98912;99007;167107;616374;5
2019.02.25;14:00:00;99007;99072;98692;98827;184458;673245;5
2019.02.25;15:00:00;98827;98942;98612;98802;148502;503202;5
2019.02.25;16:00:00;98807;98937;98687;98757;132456;469585;5
2019.02.25;17:00:00;98762;98982;98647;98797;92373;365331;5
2019.02.25;18:00:00;98802;98827;98752;98827;7136;29146;5
2019.02.26;09:00:00;98576;98721;98341;98676;188252;594875;0
2019.02.26;10:00:00;98676;99171;98671;98861;249362;846513;5
2019.02.26;11:00:00;98866;99366;98856;98976;238679;844272;5
2019.02.26;12:00:00;98981;99406;98951;99156;184033;666375;5
2019.02.26;13:00:00;99151;99476;99121;99331;143839;531758;5
2019.02.26;14:00:00;99326;99381;99016;99021;141129;518822;5
2019.02.26;15:00:00;99021;99256;98886;99021;160220;588284;5
2019.02.26;16:00:00;99021;99311;98941;99226;139432;509314;5
2019.02.26;17:00:00;99221;99286;99081;99141;73995;304217;5
2019.02.26;18:00:00;99141;99151;99006;99006;5979;28702;5
2019.02.27;09:00:00;98868;99178;98753;99143;148130;477562;0
2019.02.27;10:00:00;99138;99288;98588;98813;313779;991099;5
2019.02.27;11:00:00;98813;98858;98418;98553;223658;739902;5
2019.02.27;12:00:00;98553;98798;98368;98608;195372;680629;5
2019.02.27;13:00:00;98608;99248;98548;99123;188193;635361;5
2019.02.27;14:00:00;99118;99218;98983;99128;139993;472591;5
2019.02.27;15:00:00;99128;99298;98998;99073;129932;468207;5
2019.02.27;16:00:00;99073;99133;98783;99058;142450;481091;5
2019.02.27;17:00:00;99058;99108;98818;98883;75518;305996;5
2019.02.27;18:00:00;98878;98918;98733;98738;7199;27520;5
2019.02.28;09:00:00;98722;99012;98586;99007;166850;524380;0
2019.02.28;10:00:00;99012;99027;98047;98142;298066;966859;5
2019.02.28;11:00:00;98137;98297;97817;97862;218264;753385;5
2019.02.28;12:00:00;97862;97872;96857;96872;279823;1075877;5
2019.02.28;13:00:00;96877;97187;96782;96892;179716;691061;5
2019.02.28;14:00:00;96892;97362;96887;97272;152185;574891;5
2019.02.28;15:00:00;97272;97407;97002;97042;159714;591054;5
2019.02.28;16:00:00;97047;97227;96922;96977;137397;511173;5
2019.02.28;17:00:00;96977;97052;96887;96967;81292;344658;5
2019.02.28;18:00:00;96972;96977;96732;96732;18160;67331;5
2019.03.01;09:00:00;97266;97556;97086;97216;171326;572305;0
2019.03.01;10:00:00;97216;97471;96516;96621;318106;1095435;5
2019.03.01;11:00:00;96621;97056;96586;96826;193041;691246;5
2019.03.01;12:00:00;96826;97016;96486;96916;190315;679858;5
2019.03.01;13:00:00;96916;96941;96321;96466;175224;668017;5
2019.03.01;14:00:00;96466;96486;96086;96131;151957;563021;5
2019.03.01;15:00:00;96131;96131;95761;95806;164820;658128;5
2019.03.01;16:00:00;95811;96221;95716;96126;126133;481425;5
2019.03.01;17:00:00;96121;96316;95931;96001;92180;399329;5
